2020-05-03 23:52:32.098581
 =========== 
F_classifier_type 
Percentage of data labelled 10 
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.937   0.862  0.898                1.0
1    20.0      0.917   0.810  0.860                1.0
2    30.0      0.873   0.750  0.807                1.0
2020-05-03 23:54:43.588332
 =========== 
F_classifier_type 
Percentage of data labelled 10 
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.455     1.0  0.626                1.0
1    20.0      0.477     1.0  0.646                1.0
2    30.0      0.467     1.0  0.637                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.455     1.0  0.626                1.0
1    20.0      0.477     1.0  0.646                1.0
2    30.0      0.467     1.0  0.637                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.455     1.0  0.626                1.0
1    20.0      0.477     1.0  0.646                1.0
2    30.0      0.467     1.0  0.637                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.455     1.0  0.626                1.0
1    20.0      0.477     1.0  0.646                1.0
2    30.0      0.467     1.0  0.637                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.455     1.0  0.626                1.0
1    20.0      0.477     1.0  0.646                1.0
2    30.0      0.467     1.0  0.637                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.455     1.0  0.626                1.0
1    20.0      0.477     1.0  0.646                1.0
2    30.0      0.467     1.0  0.637                1.0
Percentage of data labelled 20 
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.920   0.894  0.907                1.0
1    20.0      0.875   0.842  0.858                1.0
2    30.0      0.740   0.819  0.777                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.917   0.894  0.905                1.0
1    20.0      0.862   0.848  0.855                1.0
2    30.0      0.735   0.828  0.779                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.927   0.882  0.904                1.0
1    20.0      0.883   0.829  0.855                1.0
2    30.0      0.752   0.802  0.776                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.899   0.892  0.896                1.0
1    20.0      0.847   0.830  0.838                1.0
2    30.0      0.717   0.810  0.761                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.911   0.894  0.902                1.0
1    20.0      0.858   0.843  0.850                1.0
2    30.0      0.727   0.824  0.773                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.909   0.880  0.894                1.0
1    20.0      0.858   0.824  0.841                1.0
2    30.0      0.735   0.804  0.768                1.0
Percentage of data labelled 30 
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.835   0.915  0.873                1.0
1    20.0      0.651   0.898  0.755                1.0
2    30.0      0.511   0.893  0.650                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.858   0.888  0.873                1.0
1    20.0      0.665   0.869  0.754                1.0
2    30.0      0.518   0.866  0.648                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.856   0.904  0.879                1.0
1    20.0      0.674   0.891  0.768                1.0
2    30.0      0.535   0.889  0.668                1.0
