2020-05-03 23:53:47.741983
2020-05-03 23:54:14.275556
 =========== 
F_classifier_type 
Percentage of data labelled 10 
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.950   0.815  0.878                1.0
1    20.0      0.940   0.739  0.827                1.0
2    30.0      0.903   0.666  0.766                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.948   0.820  0.880                1.0
1    20.0      0.940   0.748  0.833                1.0
2    30.0      0.904   0.670  0.770                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.949   0.821  0.880                1.0
1    20.0      0.941   0.746  0.832                1.0
2    30.0      0.902   0.671  0.769                1.0
   next %  precision  recall     f1  balanced_accuracy
0    10.0      0.947   0.830  0.885                1.0
1    20.0      0.935   0.756  0.836                1.0
2    30.0      0.896   0.676  0.771                1.0
