PanjivaRecordID,Carrier,ConsigneePanjivaID,HSCode,PortOfLading,PortOfUnlading,ShipmentDestination,ShipmentOrigin,ShipperPanjivaID
11477926300901,476,4268,65,80,65,129,103,3564
11369593500901,629,3962,22,103,31,78,82,6375
11372185500901,374,4959,7,88,65,25,82,6236
11373279900901,580,412,27,158,29,72,82,5612
11392761500901,38,7568,51,158,31,78,82,9385
11393126300901,557,1845,51,43,65,111,82,3959
11360211100901,654,962,46,43,11,33,82,9696
11395846300901,357,6320,4,103,45,120,82,10215
11395871900901,233,412,27,103,31,74,82,3801
11374105500901,522,2465,37,14,31,74,82,10613
11371654300901,226,8355,65,103,69,131,82,8835
11392339100901,544,2085,22,103,11,33,82,3702
11403244700901,38,6139,51,65,31,25,82,8294
11431430300901,227,6068,21,43,31,74,82,9566
11402374300901,278,5888,51,158,14,99,82,6807
11406713500901,106,6072,22,103,2,44,82,3363
11403500700901,525,8343,51,103,2,57,82,1110
11391871900901,104,7804,51,158,7,32,82,6076
11382495900901,654,4556,22,158,31,78,82,5422
11419718300901,327,3629,46,117,45,120,82,7383
11385324700901,585,4804,51,256,65,129,82,4587
11445830300901,233,6445,65,256,31,74,82,2186
11461433500901,278,6072,22,65,2,44,82,3431
11438335900901,436,2560,28,140,31,41,82,8390
11440172700901,367,2454,51,65,46,16,82,8988
11405049500901,589,2444,22,103,31,78,82,8177
11381164700901,349,8606,4,65,50,100,82,9719
11436627100901,106,6072,22,103,2,44,82,5056
11430489500901,594,7538,21,103,69,131,82,3129
11463289500901,544,1700,51,158,65,111,82,6312
11444729500901,639,4760,82,103,31,74,82,4504
11470879900901,374,502,22,65,65,78,82,9846
11473119900901,594,865,51,43,11,33,82,1031
11448115100901,226,3313,4,103,46,16,82,1549
11424780700901,38,6139,53,14,31,25,82,5493
11459583900901,522,2381,42,103,73,133,82,7189
11453983900901,599,740,51,141,43,79,82,3077
11468012700901,497,6867,59,43,31,74,82,1371
11468633500901,619,5603,68,256,53,85,82,6040
